"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"CDK1",FALSE,"CDK1","CDK1",6678,6678,0.162,1.18,1.15,1.2,1.71e-40,1.19e-41
"ALB",FALSE,"ALB","ALB",6678,6678,-0.00148,0.999,0.988,1.01,0.791,0.79
"AP1S1",FALSE,"AP1S1","AP1S1",6678,6678,-0.192,0.825,0.791,0.862,1.8e-18,7.5e-17
"CASP3",FALSE,"CASP3","CASP3",6678,6678,0.142,1.15,1.09,1.21,8.91e-08,8.1e-08
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",6678,6678,-0.0906,0.913,0.885,0.943,2.73e-08,6.12e-08
"SNCA",FALSE,"SNCA","SNCA",6678,6678,-0.0294,0.971,0.952,0.99,0.00313,0.00301
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",6678,6678,-0.0159,0.984,0.971,0.997,0.0182,0.0173
"MAPT",FALSE,"MAPT","MAPT",6678,6678,-0.0844,0.919,0.907,0.932,9.76e-35,1.65e-35
"GSK3B",FALSE,"GSK3B","GSK3B",6678,6678,-0.158,0.854,0.812,0.897,3.82e-10,1.15e-09
"JUN",FALSE,"JUN","JUN",6678,6678,-0.118,0.889,0.861,0.917,2.89e-13,5.32e-13
"APP",FALSE,"APP","APP",6678,6678,-0.204,0.815,0.797,0.834,7.24e-68,1.15e-50
"CYP1A1",FALSE,"CYP1A1","CYP1A1",6678,6678,0.0184,1.02,1,1.03,0.018,0.0193
"COX17",FALSE,"COX17","COX17",6678,6678,-0.312,0.732,0.702,0.763,5.42e-49,1.32e-41
"XIAP",FALSE,"XIAP","XIAP",6678,6678,-0.295,0.744,0.713,0.777,3.21e-42,3.17e-34
"TP53",FALSE,"TP53","TP53",6678,6678,0.00238,1,0.964,1.04,0.905,0.905
"FOXO1",FALSE,"FOXO1","FOXO1",6678,6678,-0.0514,0.95,0.916,0.985,0.00565,0.00598
"COA6",FALSE,"COA6","COA6",6678,6678,-0.0409,0.96,0.912,1.01,0.119,0.12
"ARF1",FALSE,"ARF1","ARF1",6678,6678,-0.245,0.782,0.75,0.816,1.34e-30,1.28e-21
"GPC1",FALSE,"GPC1","GPC1",6678,6678,0.0886,1.09,1.06,1.13,1.84e-08,1.43e-08
"AOC3",FALSE,"AOC3","AOC3",6678,6678,-0.106,0.9,0.882,0.917,6.09e-26,1.94e-25
"SORD",FALSE,"SORD","SORD",6678,6678,-0.175,0.84,0.818,0.862,5.85e-40,3.45e-41
"PRNP",FALSE,"PRNP","PRNP",6678,6678,-0.0663,0.936,0.906,0.967,6.13e-05,7.21e-05
"F5",FALSE,"F5","F5",6678,6678,0.00525,1.01,0.991,1.02,0.479,0.479
"ATP7A",FALSE,"ATP7A","ATP7A",6678,6678,-0.208,0.812,0.784,0.84,8.08e-33,1.26e-30
"SP1",FALSE,"SP1","SP1",6678,6678,-0.0911,0.913,0.869,0.959,0.000322,0.000385
"MT-CO1",FALSE,"MT-CO1","MT-CO1",6678,6678,-0.0565,0.945,0.912,0.979,0.0019,0.00212
"DBH",FALSE,"DBH","DBH",6678,6678,-0.0579,0.944,0.927,0.961,7.57e-10,4.73e-11
"SLC11A2",FALSE,"SLC11A2","SLC11A2",6678,6678,-0.244,0.783,0.75,0.818,9.01e-29,1.05e-25
"ANG",FALSE,"ANG","ANG",6678,6678,-0.0289,0.972,0.951,0.993,0.00918,0.00925
"S100A12",FALSE,"S100A12","S100A12",6678,6678,0.146,1.16,1.14,1.18,5.99e-68,2.81e-61
"ATP6AP1",FALSE,"ATP6AP1","ATP6AP1",6678,6678,-0.32,0.726,0.702,0.751,1.21e-76,1.03e-50
"ADAM10",FALSE,"ADAM10","ADAM10",6678,6678,-0.115,0.891,0.852,0.932,5.74e-07,8.79e-07
"MT-CO2",FALSE,"MT-CO2","MT-CO2",6678,6678,-0.0884,0.915,0.882,0.95,4.1e-06,6.33e-06
"CP",FALSE,"CP","CP",6678,6678,0.064,1.07,1.05,1.08,1.12e-28,4.53e-29
"BACE1",FALSE,"BACE1","BACE1",6678,6678,-0.0103,0.99,0.95,1.03,0.628,0.629
"PRND",FALSE,"PRND","PRND",6678,6678,-0.0343,0.966,0.95,0.982,4.41e-05,4.22e-05
"AQP1",FALSE,"AQP1","AQP1",6678,6678,-0.0835,0.92,0.902,0.939,5.57e-16,7.22e-16
"MT1X",FALSE,"MT1X","MT1X",6678,6678,-0.0419,0.959,0.938,0.981,0.00026,0.000261
"IL1A",FALSE,"IL1A","IL1A",6678,6678,0.122,1.13,1.11,1.15,4.83e-52,2.8e-47
"XAF1",FALSE,"XAF1","XAF1",6678,6678,0.0841,1.09,1.06,1.12,7.64e-10,5.67e-10
